,Classifier,Train Accuracy,Total Training Time (s)
0,MultinomialNB,0.9181004812378166,18.97136163711548
1,LogisticRegression,0.952416087962963,38.34496879577637
2,RandomForestClassifier,0.9418844420077972,205.6198570728302
3,DecisionTreeClassifier,0.9141972770467837,201.32782196998596
4,GradientBoostingClassifier,0.9360380116959064,2764.7153284549713
5,AdaBoostClassifier,0.9430547941033138,1039.9172456264496
6,SVC,0.9570982577972711,197.684552192688
7,KNeighborsClassifier,0.88299448708577,402.84371399879456
8,SGDClassifier,0.9578787463450291,35.612884283065796
9,MLPClassifier,0.9512487816764132,11701.434288024902
